시드고정여부,데이터수,학습유형,데이터분할비율,단어,상위유사단어,단어벡터
X,990,학습 + 추가학습 + 추가학습,5 대 3 대 2,정부/Noun,"파생/Noun, 거래/Noun, 축산물/Noun, 국토/Noun, 노력/Noun","0.45603386, 0.07149588, -0.07308193, -0.3574186, 0.50788015, -0.99707156, 0.46323314, 0.71421289, -0.55498284, -0.04293808, -0.57941222, -0.45834276, 0.56656235, -0.36755908, -0.46596298, 0.92007256, -0.38202253, 0.03847965, -0.51633722, -0.34246138, 0.18332887, 0.08796321, 0.72427469, -0.36976445, -0.16472918, 0.44567752, 0.25973475, 0.32988274, -0.64990342, -0.10821562, 0.10233162, -0.18428026, 0.48700118, -0.13476288, -0.14307174, 0.80951232, 0.2139452, -0.1672864, 0.5935418, -0.30305174, 0.28565335, -0.50077617, -0.62246567, 0.05110092, 0.82039726, 0.78957468, -0.62424695, 0.27478889, 0.18193366, -0.27866602"
X,990,학습 + 추가학습,5 대 5,정부/Noun,"위기/Noun, 노력/Noun, 축산물/Noun, 이행/Noun, 국제화/Noun","0.44300139, 0.05716392, 0.00921227, -0.31192076, 0.49284995, -0.78973514, 0.44993979, 0.66912043, -0.29953516, -0.03740236, -0.48048371, -0.56969166, 0.45008034, -0.33241132, -0.4368546, 0.84400529, -0.57096702, -0.04328159, -0.75866687, -0.4063547, 0.15647216, 0.10075462, 0.54618293, -0.11549512, -0.00539085, 0.39878327, 0.50663573, 0.16067691, -0.85243398, -0.1092927, 0.05801552, -0.07029206, 0.21578968, -0.41403964, 0.02983528, 0.78367198, 0.03026276, -0.23160413, 0.55559176, -0.29096293, 0.22927621, -0.40832871, -0.68012291, 0.27440014, 0.7265417, 0.44395825, -0.35266379, 0.31693029, 0.30209288, -0.47910041"
X,990,학습 + 추가학습,6 대 4,정부/Noun,"인재/Noun, 리더/Noun, 위기/Noun, 문제해결/Noun, 위상/Noun","0.11091222, -0.09440158, 0.06863698, -0.43815124, -0.37473834, 0.20862107, 0.68167263, 0.61520565, -0.09743097, -0.02728384, 0.21539943, -1.12775767, -0.20322789, 0.50744462, 0.0347564, 0.01046379, -0.29998034, -0.34127909, -0.23497123, -0.70114642, -0.01173743, -0.17891046, 0.73850471, -0.28705496, -0.18878618, -0.0484093, 0.09834728, -0.04017634, 0.31489336, 0.10536333, 0.25969112, -0.02759369, -0.32684782, -0.76639313, -0.16771014, 0.51505262, 0.36073989, -0.21251331, -1.02795064, -0.48809409, -0.03200973, 0.49641049, 0.25271851, -0.03415047, 0.40679184, -0.01624383, 0.14163415, -0.30863336, -0.32338953, 0.79633677"
X,990,학습 + 추가학습,7 대 3,정부/Noun,"전세계/Noun, 문제해결/Noun, 안보/Noun, 채용/Noun, 관심/Noun","-0.07792611, 0.10847445, 0.93250692, -0.03176262, 0.2997171, 0.19581726, 0.89714277, 0.95047051, -0.77713865, 0.3345224, -0.02729273, 0.03022544, 0.38180032, 1.00420809, -0.45508471, -0.21945719, -0.29690498, -0.11713618, -0.53931332, -0.43035191, -0.00929752, 0.66886789, 0.22593908, -0.36367968, 0.80445594, -0.25056854, 0.56900084, -0.10129727, -0.36471164, -0.38188371, 0.02783978, 0.05923171, -0.16771522, -0.27361709, 0.31391969, -0.36660218, -0.00529373, -0.05591614, 0.24479733, -0.20702408, 0.41451728, 0.15715826, -0.09883026, 0.20971306, 0.4648861, -0.35233361, 0.06922084, -0.41547009, 0.4509173, 0.22839689"
X,3320,학습,,정부/Noun,"정책/Noun, 기조/Noun, 국가/Noun, 한국판/Noun, 에너지정책/Noun","-0.65333396, -0.70410872, 0.13308854, -0.22185802, 0.1342648, -0.94124383, 0.47589892, 0.25157404, 0.37569135, -0.31890818, 0.97684044, -0.02226771, -0.39217591, 0.3267774, -0.69728529, 0.49194744, 0.48027581, -0.36059773, -1.00358975, 0.20072749, 0.16212861, 0.69483984, 0.93117672, -0.29764605, -0.08319993, -0.06826152, 0.0550276, 1.09607661, -0.49727044, 0.25031877, 0.43200773, 0.32754484, 0.07272724, -0.11877065, -0.32737321, 0.02257706, 0.05474547, 0.50385052, 1.24560738, 0.17265397, 0.89788932, -0.33389848, 0.25671369, 0.4405376, 0.72460526, 0.83996123, 0.39897507, -0.37614977, -0.11317632, 0.07151708"
X,3320,학습 + 추가학습,3 대 7,정부/Noun,"한국판/Noun, 도지원/Noun, 정책/Noun, 부처/Noun, 기조/Noun","0.57747823, 0.38526484, 0.3216494, 0.1402844, -0.47478491, -0.44537333, -0.2013566, 0.37107602, 0.17521058, -0.28700885, 0.43079215, -0.19439329, -1.04219043, 0.03623914, -0.55296111, 1.03777301, 0.91300344, -0.20379347, -0.04367999, -0.50000149, -0.49606791, 0.64134324, 0.4100183, -1.31722343, 0.0964182, 0.74797308, -0.48632473, 0.47987279, -0.05455339, -0.81775385, 0.82728267, -0.07952749, -0.48859164, -0.12377247, -1.08864355, 0.51819366, -0.129144, 0.01091256, 0.44766256, -0.63095295, 0.29512706, 0.32196811, -0.29986066, -0.08086241, -0.14119828, 0.37936321, -0.34824526, -0.51903641, 0.30244181, 0.5451104"
X,3320,학습 + 추가학습,4 대 6,정부/Noun,"도지원/Noun, 쿠루/Noun, 부함함/Noun, 재원/Noun, 에너지정책/Noun","0.05513565, 0.07719865, 0.44151655, -0.20669606, -0.04192689, -0.2940653, 0.34057233, 0.88760906, -0.02466925, -0.93800408, 0.09949542, -0.45531726, 0.56319904, 0.02808908, -0.4724485, -0.89157552, 0.01632181, 0.39014399, -0.25716254, -0.39494398, -0.09056974, 0.55463326, -0.13316673, -0.57862258, -0.13744293, -0.2501272, -1.04442585, -0.16175014, -0.18953557, 0.57428902, -0.42654729, 0.03644774, -0.68046671, 0.72201073, -0.31367859, 0.76314253, -0.19288896, -0.5642519, 0.09183025, -0.17253105, 1.05945051, 0.20849428, 0.42943421, -0.42201144, 0.7611118, 0.99183434, 0.22712658, -0.02565264, 0.0523272, -0.87795085"
X,3320,학습 + 추가학습 + 추가학습,5 대 2 대 3,정부/Noun,"재원/Noun, 일몰/Noun, 한국판/Noun, 정책/Noun, 양허/Noun","0.15828089, 0.33223528, -0.11796971, 0.59507847, 1.11178052, 0.04724808, -0.07464625, 0.73103702, -1.08958447, 0.01622215, 0.72514284, -1.16543162, -0.32497108, 0.32654664, -0.92807466, 0.22386509, -0.39983681, -0.01215153, -0.73606783, 0.14460404, 0.04302653, -0.11741442, 0.60397536, 0.00347229, 0.92057061, -0.27969736, -0.70678693, 0.41147736, 0.06259593, 0.58143574, 0.29040831, 0.69010019, 0.31415609, -0.32517129, -0.317875, 0.62718451, 0.43661398, 0.20016888, 0.2066644, 0.05824223, 0.00977759, -0.81386179, -0.03483909, 0.3969411, -0.28291321, 0.68959308, -0.04750534, -0.38723919, -0.0866164, -0.48367727"
X,3320,학습 + 추가학습 + 추가학습,5 대 3 대 2,정부/Noun,"재원/Noun, 도지원/Noun, 환경보전/Noun, 한국판/Noun, 기조/Noun","-0.11295538, 0.60725754, -0.30844855, 0.62486744, 1.06554854, 0.38116965, -0.3930372, 0.56593531, -1.0843972, 0.24789004, 0.6562885, -1.38609743, -0.02754392, 0.13356873, -0.94166028, 0.16476846, -0.14784813, -0.29390898, -0.70353526, 0.00573406, 0.08419363, -0.71838528, 1.20830202, -0.10862182, 1.10601389, -0.27691698, -0.87671661, 0.73851234, -0.15006259, 0.61928254, -0.09124883, 0.73559237, 0.32752967, -0.2711927, 0.01862535, 1.10740292, 0.36427844, 0.3481518, 0.17729193, -0.48368651, -0.13229422, -0.64629006, 0.14180119, 0.55483276, -0.20712028, 0.68007261, -0.4146075, -0.12775862, -0.01235522, -0.69431227"
X,3320,학습 + 추가학습,5 대 5,정부/Noun,"한국판/Noun, 재원/Noun, 에너지정책/Noun, 당국/Noun, 부처/Noun","0.16791476, 0.56563962, -0.04656701, 0.45435688, 0.82675344, -0.53133518, 0.54774415, 0.73495442, -0.83620071, -0.38342568, 0.06239947, -0.82381529, -0.47010112, 0.22844754, -0.63863039, -0.21758249, 0.44691119, -0.05075073, -0.28073087, 0.27954409, 0.10948451, -0.20819573, 1.23966348, 0.50488645, 0.99336106, -0.14759675, -1.10901487, 0.36917803, -0.22300422, 0.15348716, -0.22803494, 0.56445956, 0.29615948, -0.08084032, -0.19369344, 1.1560564, 0.34947878, -0.0274793, 0.85979086, 0.01923313, 0.4421756, -0.754179, -0.26871482, 0.58444774, -0.36167052, 0.88191658, -0.42769015, 0.38875732, 0.00816917, -0.21916725"
X,3320,학습 + 추가학습,6 대 4,정부/Noun,"정책/Noun, 국무회의/Noun, 재원/Noun, 로드맵/Noun, 기조/Noun","0.28491604, 0.47042754, -0.41757369, 0.53890681, 0.26274848, -0.29573303, -0.23354916, -0.0092083, -0.59064507, 0.13606581, -0.34249613, 0.09494231, 0.46780986, 0.59423918, -0.00020311, 0.21132101, 1.02078056, 0.15030155, -0.51302493, -0.61969233, 0.3894783, -0.1938884, 0.68502986, -0.18318945, 0.17478766, 0.57780594, -0.85385966, -0.69269705, -1.0458256, 0.39055395, -0.17549397, -0.31127834, -0.57095695, -0.73464888, 0.70979464, 0.66021621, 0.08187392, 0.40067413, 0.30398345, 0.36190426, 0.42706895, 0.01219648, -0.21623477, -0.70507479, 0.64722526, -0.24037662, 0.74442124, -0.47054461, 1.49410582, -0.00289798"
X,3320,학습 + 추가학습,7 대 3,정부/Noun,"정책/Noun, 기조/Noun, 한국판/Noun, 에너지정책/Noun, 로드맵/Noun","0.29009441, -0.01968017, 0.2723245, -0.42613381, 0.40184766, -0.5668962, 1.56441414, 1.05182493, -0.93401134, 0.00633398, 0.30215034, -1.17744243, 0.29997107, 0.01884, 0.0072399, 0.27476296, 0.65507191, -0.01555499, 0.50869918, -0.18123344, -0.2137266, 0.04573356, 0.00660927, 0.24999714, 0.03086367, 0.59666461, -0.72112274, -0.18718781, -1.16469157, 0.60175002, 0.24250993, -0.26250961, 0.35207656, -0.18288992, -0.6193673, -0.44592986, 0.50359756, 0.43223247, 0.26720804, 0.35105199, 0.16323423, -0.16555293, 0.89278603, 0.48558119, 0.2558234, -0.70492649, 0.62217015, 0.26113981, 0.32971054, -0.39522997"
