시드고정여부,데이터수,학습유형,데이터분할비율,단어,상위유사단어,단어벡터
X,990,학습 + 추가학습 + 추가학습,5 대 3 대 2,과제/Noun,"구진/Noun, 종료/Noun, 구결/Noun, 따라서/Noun, 활발하다/Adjective","-0.59669137, 0.36120242, 0.05281195, -0.54110551, 0.33799118, -0.99227226, 0.42183644, 1.22581458, -0.17417501, 0.32624373, 0.04543974, -0.10338923, 0.22048073, 0.52611589, 0.18847896, 0.05361653, 0.27713135, 0.31365079, -0.80182332, 0.44652477, 0.62906283, 0.00586849, 0.93254924, -0.08669476, -0.08926068, 0.46481612, 0.29567823, 0.0533042, -0.56847364, -0.33609152, -0.4701193, -0.02968387, -0.15630424, -0.36889601, -0.39161703, 1.026577, 0.644503, -0.508663, -0.25512058, -0.55046648, 0.55094123, -0.67894518, -0.20043844, 0.37236363, 1.06578052, 0.48613355, 0.32508266, -0.5556888, -0.11680113, 0.11844135"
X,990,학습 + 추가학습,5 대 5,과제/Noun,"구진/Noun, 성공/Noun, 연구/Noun, 연구개발/Noun, 아래/Noun","-0.67782772, 0.23063034, -0.00059422, -0.43453562, 0.36006272, -1.14159524, 0.26668537, 1.21787667, 0.01946829, -0.17171006, 0.02513164, 0.03268889, 0.33045417, 0.04417009, 0.23225532, -0.18479475, -0.00266846, 0.16200648, -0.67611158, 0.13591962, 0.65277463, 0.12490167, 1.0069176, -0.36727372, 0.38290632, 0.06739202, 0.50626266, -0.02850372, -0.69571346, 0.00640231, -0.7321381, -0.10095304, -0.10759988, -0.5309782, -0.45314741, 1.10369849, 0.51020122, -0.81784886, -0.1238986, -0.30276588, 0.54416293, -0.21512495, -0.38194227, 0.20442274, 1.01132035, 0.6426661, 0.08141593, -0.33720404, -0.10365794, 0.33781719"
X,990,학습 + 추가학습,6 대 4,과제/Noun,"성공/Noun, 구진/Noun, 구결/Noun, 연구/Noun, 연구자/Noun","0.21985039, -0.23254248, -0.06538869, -0.55028337, -0.67197138, 0.13123372, 1.03332531, 0.09614354, -0.89414024, 0.13739447, 0.44373518, -1.06133306, 0.24468717, 0.72638428, -0.58368891, 0.73439509, -0.02752333, 0.17575788, -0.45984128, -0.62707835, 0.39711854, -0.00328545, 1.13760102, -0.26807705, 0.23735796, 0.15541416, 0.99415439, 0.51784921, -0.09311152, 0.21504854, -0.07803053, -0.51776165, -0.47141296, -0.72205532, 0.03334259, 0.63292414, -0.16222233, -0.12858631, -0.00537702, -0.36582717, 0.26991883, 0.27472112, 0.57321042, -0.12623438, 0.33084294, 0.08245223, 0.08767879, 0.00165761, -0.05526502, -0.14472136"
X,990,학습 + 추가학습,7 대 3,과제/Noun,"성공/Noun, 구진/Noun, 후속/Noun, 구결/Noun, 실정/Noun","-0.08659191, 0.07353865, 1.00703466, -0.43311939, 0.26156941, -0.11625278, 0.57436156, 0.64883876, -0.95814198, -0.43094644, 0.25902203, 0.00183354, 0.31083632, 0.40766382, -0.3033728, 0.13932188, 0.14398734, 0.68267018, -0.30397874, -0.73446637, 0.62130171, 0.47578806, 0.43065941, -0.33510596, 0.81452489, -0.36378592, 0.5478757, 0.25203249, -0.58189899, -0.10021473, -0.59781015, 0.29363298, -0.50558984, -0.09674837, 0.34204048, 0.54405165, -0.43378958, -0.3217051, 1.17898524, -0.66165674, 0.07456623, 0.02471536, 0.40078646, 0.05686173, 0.58091313, 0.10826817, -0.56939363, -0.05359029, 0.17989521, 0.11584964"
X,3320,학습,,과제/Noun,"결과물/Noun, 보다/Verb, 연구개발/Noun, 연구/Noun, 형편/Noun","0.12605636, 0.07937341, -0.63788307, -0.58745223, -0.10395571, -1.29074335, 0.3255161, 0.14659594, -0.07500278, -0.39350611, -0.25512305, -0.80724829, 0.20127532, 0.17940909, -0.75846457, 0.78054363, 0.43641931, 0.02988609, -1.11402237, 0.02973327, -0.05015108, 0.05504403, 0.46297359, -0.04710725, 0.79596305, 0.19184382, -0.04675639, 0.09198643, 0.09894686, -0.13806064, -0.24896827, -0.35995814, -0.11709577, -0.21372488, 0.1967054, 0.08174765, 0.20128685, 0.41070238, -0.06805485, 0.32930556, 0.18191987, 0.3135021, 0.0834464, -0.25697255, 0.56867117, 0.37750351, 0.38423219, -0.31165397, -0.51610863, -0.16245829"
X,3320,학습 + 추가학습,3 대 7,과제/Noun,"보다/Verb, 결과물/Noun, 성공/Noun, 연구개발/Noun, 연구/Noun","-0.06528556, 0.02630514, -0.17008071, -0.18939081, -0.42583543, -0.71344841, 0.02291966, 0.47200003, -0.75725782, -0.50535095, 0.63171852, -0.24951355, -0.47675696, -0.29642439, 0.19043006, 0.65076238, 0.62619907, 0.04517164, -0.69101733, 0.40754333, 0.75344735, 0.48715332, 0.39772907, -0.68501526, 0.26483309, 0.19760689, 0.42326695, 0.22059633, -0.92486364, -0.0507334, 0.05514868, 0.06342632, 0.76010936, 0.02638096, -0.14325763, -0.15860216, 0.38316515, -0.16697645, 0.15680455, -0.34603539, 0.68208373, 0.45484993, -0.01632837, 0.10299287, -0.06040421, 0.58839154, -0.60128105, -0.46477315, 0.45833033, -0.28945303"
X,3320,학습 + 추가학습,4 대 6,과제/Noun,"보다/Verb, 결과물/Noun, 연구/Noun, 성공/Noun, 연구개발/Noun","0.01218319, 0.45687097, 0.91008341, 0.03763267, 0.47538716, 0.0029352, 0.36173329, 0.1845412, -1.01362681, -0.47229972, 0.15734446, -0.5923214, 0.95287693, 0.05347322, -0.41211125, 0.25804237, 0.27754831, 0.87750262, -0.55500859, -0.01728352, -0.68058687, 0.12538446, 0.48019496, -0.21759936, 0.36761978, 0.36058086, -0.06794882, 0.01114658, 0.04449564, 0.04609708, -0.31429753, -0.33158767, -0.10735388, 0.41674086, 0.1013356, -0.00370903, 0.22593969, -0.7903049, -0.170761, -0.27618375, 0.2341647, 0.01303925, -0.68449956, -0.35090053, 0.42678142, 0.65322679, -0.39227256, -0.0696516, 0.23457226, -0.22149129"
X,3320,학습 + 추가학습 + 추가학습,5 대 2 대 3,과제/Noun,"보다/Verb, 형편/Noun, 성실하다/Adjective, 연구/Noun, 임본/Noun","0.17453985, 0.3294597, -0.53535223, 0.24534416, 0.0409917, -0.61560875, 0.463765, 0.08268576, -0.70357513, -0.19086047, 0.37734523, 0.08732227, -0.25911245, 0.42171806, -0.35003969, 0.66618091, 0.25444356, -0.17315631, -0.30820262, -0.09309323, 0.25447032, -0.37396669, 0.53472984, -0.16353841, 0.71390235, -0.19412185, 0.43715596, 0.83213603, -0.0407566, 0.03211553, 0.18876195, -0.05874418, 0.08584163, 0.06357119, -0.67013997, 0.85354447, 0.51699871, 0.09965008, -0.0191738, -0.21660852, 0.72400504, -0.29913983, -0.12815753, -0.43891197, 0.00152752, 1.09086311, -0.257781, -0.09907681, 0.43516076, 0.23318185"
X,3320,학습 + 추가학습 + 추가학습,5 대 3 대 2,과제/Noun,"보다/Verb, 결과물/Noun, 연구/Noun, 연구개발/Noun, 형편/Noun","-0.07132246, 0.27911285, -0.61180252, 0.13457024, 0.18530989, -0.63012505, 0.70595527, 0.03824487, -0.71967757, -0.46463355, 0.61246735, -0.21093203, -0.33562255, 0.79635286, -0.4945724, 0.63834822, 0.51799703, -0.08131514, -0.72486514, -0.03488624, 0.38127944, -0.2834028, 0.76725763, -0.32386491, 0.51838309, -0.2242564, 0.25743431, 0.73304731, 0.01965656, -0.03406078, -0.30058298, -0.13133642, 0.0860864, 0.19692022, -0.66251969, 0.71829695, 0.51080054, 0.13630931, -0.31768459, -0.38975289, 0.65924692, -0.35383889, -0.24118263, -0.36561906, 0.08107458, 0.86176473, -0.20952788, 0.16904552, 0.52557319, 0.27286908"
X,3320,학습 + 추가학습,5 대 5,과제/Noun,"보다/Verb, 결과물/Noun, 성공/Noun, 연구/Noun, 성실하다/Adjective","0.41795486, 0.18577638, -0.8231141, 0.09643351, -0.02564313, -0.29144901, 0.47979426, 0.4143658, -0.51310188, -0.34126645, 0.20389001, -0.5109725, 0.09783068, 0.19777653, -0.01894302, 0.41119006, 0.1871983, -0.21479321, -0.3522833, -0.01181061, -0.22696868, -0.74259931, 0.50199264, -0.39626276, 0.85619742, -0.04719494, -0.16402048, 0.94258338, -0.10448215, -0.69151998, 0.21610941, -0.48923823, -0.15330482, 0.36637217, -0.11362401, 0.34379005, 0.91747934, -0.0306184, -0.21119939, -0.56716841, 0.50970048, -0.51984143, -0.52526283, -0.48710623, 0.17561717, 0.63021743, -0.06460853, 0.16710272, 0.52836984, -0.01935156"
X,3320,학습 + 추가학습,6 대 4,과제/Noun,"보다/Verb, 연구/Noun, 결과물/Noun, 연구개발/Noun, 형편/Noun","0.1869307, 0.12666765, -0.79347152, -0.54411775, 0.09497494, -0.44250393, 0.17996415, -0.0631443, -0.47991693, -0.22663848, 0.59833163, -0.39738426, 0.85025609, -0.01981627, -0.00782566, 0.26965079, 0.48799223, 0.07301468, -0.68120265, 0.59948516, 0.53471851, 0.1275751, 0.60095733, -0.87892318, -0.19423324, 0.58264279, -0.34718522, -0.47887373, -0.10493334, 0.01318581, -0.01308232, -0.63245356, -0.02902636, -0.35835677, 0.25255671, 0.44915941, -0.24847986, -0.4063428, 0.66398072, -0.08020391, 0.47810188, 0.0259597, -0.24097113, -0.45637548, 0.51040512, 0.47855604, 0.29149032, -0.26982355, -0.1676048, 0.36528406"
X,3320,학습 + 추가학습,7 대 3,과제/Noun,"보다/Verb, 연구개발/Noun, 연구/Noun, 성과지표/Noun, 성공/Noun","-0.08760939, 0.37791219, -0.62449628, -0.64310104, -0.25829121, -0.37273809, 0.29600203, 0.16261093, -1.35210359, -0.51546639, 0.1667458, -0.65149039, 0.24456343, -0.24572054, -0.06653273, 0.61903143, -0.1371223, 0.63686371, -0.17598416, -0.36188337, -0.00179621, 0.43478364, 0.92627293, -0.28621972, 0.07574644, 0.93104261, 0.07378529, 0.12634633, -0.30032402, -0.39817122, 0.06835122, -0.1070508, -0.6250729, -0.23304576, -0.25354889, 0.63299263, 0.41326231, -0.16102009, -0.10490268, -0.31459522, -0.37523901, 0.04226224, 0.17312787, 0.28239083, 0.67907536, -0.30985782, 0.59531844, -0.30771592, -0.34254441, 0.08713208"
